"","code_insee","code_pat"
"9201.1","26291","24"
"9201.2","26291","25"
"9202","26292","21"
"9202.1","26292","24"
"9203","26293","24"
"9204","26294","23"
"9204.1","26294","24"
"9205","26295","24"
"9206","26296","24"
"9206.1","26296","29"
"9207","26298","23"
"9207.1","26298","24"
"9208","26299","31"
"9208.1","26299","24"
"9208.2","26299","25"
"9209","26300","24"
"9209.1","26300","25"
"9210","26301","24"
"9210.1","26301","12"
"9211","26302","31"
"9211.1","26302","22"
"9211.2","26302","24"
"9212","26303","21"
"9212.1","26303","24"
"9213","26304","21"
"9213.1","26304","24"
"9214","26305","24"
"9214.1","26305","26"
"9215","26306","24"
"9216","26307","31"
"9216.1","26307","22"
"9216.2","26307","24"
"9217","26308","31"
"9217.1","26308","24"
"9217.2","26308","25"
"9218","26309","31"
"9218.1","26309","22"
"9218.2","26309","24"
"9219","26310","23"
"9219.1","26310","24"
"9220","26311","31"
"9220.1","26311","22"
"9220.2","26311","24"
"9221","26312","24"
"9221.1","26312","26"
"9222","26313","23"
"9222.1","26313","24"
"9223","26314","24"
"9224","26315","31"
"9224.1","26315","22"
"9224.2","26315","24"
"9225","26316","31"
"9225.1","26316","22"
"9225.2","26316","24"
"9226","26317","21"
"9226.1","26317","24"
"9227","26318","24"
"9228","26319","23"
"9228.1","26319","24"
"9229","26320","31"
"9229.1","26320","22"
"9229.2","26320","24"
"9230","26321","24"
"9230.1","26321","25"
"9231","26322","24"
"9232","26323","23"
"9232.1","26323","24"
"9233","26324","24"
"9233.1","26324","30"
"9234","26325","24"
"9235","26326","24"
"9235.1","26326","30"
"9236","26327","24"
"9236.1","26327","25"
"9237","26328","24"
"9237.1","26328","29"
"9238","26329","21"
"9238.1","26329","24"
"9239","26330","24"
"9240","26331","22"
"9240.1","26331","24"
"9241","26332","24"
"9242","26333","24"
"9243","26334","24"
"9243.1","26334","27"
"9244","26335","24"
"9245","26336","24"
"9245.1","26336","28"
"9246","26337","24"
"9246.1","26337","26"
"9247","26338","24"
"9247.1","26338","26"
"9248","26339","24"
"9248.1","26339","26"
"9249","26340","21"
"9249.1","26340","24"
"9250","26341","24"
"9250.1","26341","12"
"9251","26342","24"
"9251.1","26342","30"
"9252","26343","24"
"9252.1","26343","27"
"9253","26344","24"
"9253.1","26344","28"
"9254","26345","24"
"9254.1","26345","30"
"9255","26346","24"
"9255.1","26346","28"
"9256","26347","24"
"9256.1","26347","12"
"9257","26348","21"
"9257.1","26348","24"
"9258","26349","24"
"9259","26350","21"
"9259.1","26350","24"
"9259.2","26350","27"
"9260","26351","24"
"9260.1","26351","27"
"9261","26352","24"
"9261.1","26352","26"
"9262","26353","24"
"9262.1","26353","26"
"9263","26355","23"
"9263.1","26355","24"
"9264","26356","24"
"9264.1","26356","27"
"9265","26357","24"
